team1,team2,toss_winner,toss_decision,venue,venue_win_rate,team1_recent_form,team2_recent_form,team1_win
13,6,6,1,14,0.3333333333333333,0.4,0.6,0
1,0,1,0,27,1.0,0.6,0.6,1
11,2,2,1,45,0.6666666666666666,0.6,1.0,0
10,13,10,0,23,0.5,0.6,0.8,0
0,6,0,0,14,0.2,0.4,0.6,1
8,2,2,1,16,0.5,0.4,1.0,1
11,13,13,1,23,0.3333333333333333,0.4,0.8,0
2,0,2,0,16,0.3939393939393939,0.4,0.4,0
1,10,10,1,2,0.75,0.8,0.4,1
11,6,11,0,45,0.6666666666666666,0.2,0.6,1
8,13,8,0,5,0.6,0.6,0.8,0
1,2,1,0,2,0.75,0.8,0.8,1
6,8,6,0,5,0.0,0.2,0.19999999999999996,0
13,0,0,1,23,0.41935483870967744,0.4,0.6,1
11,10,10,1,41,1.0,0.4,0.4,1
0,8,8,1,6,0.0,0.4,0.4,0
1,11,1,0,45,0.0,1.0,0.4,0
6,10,6,0,41,1.0,0.2,0.4,1
2,13,13,1,23,1.0,0.2,0.8,1
11,0,11,0,45,0.6666666666666666,0.4,0.6,1
8,1,1,1,9,0.8,0.4,0.4,1
2,6,2,0,16,0.3939393939393939,0.4,0.6,1
10,8,8,1,5,0.0,0.4,0.6,0
13,0,13,0,27,0.4,0.6,0.4,0
2,11,2,0,16,0.3939393939393939,0.4,0.4,1
6,1,6,0,14,0.4878048780487805,0.4,0.19999999999999996,1
10,13,10,0,41,0.4444444444444444,0.2,0.6,0
0,11,0,0,27,0.7666666666666667,0.4,0.19999999999999996,1
8,1,8,0,5,0.6,0.6,0.19999999999999996,1
6,10,6,0,14,0.4878048780487805,0.6,0.19999999999999996,0
2,13,2,0,16,0.3939393939393939,0.6,0.8,1
11,1,11,0,55,1.0,0.6,0.19999999999999996,1
0,8,0,0,27,0.7666666666666667,0.6,0.8,1
10,11,10,0,47,0.25,0.2,0.19999999999999996,0
6,2,6,0,14,0.4878048780487805,0.6,0.6,1
13,1,1,1,23,0.41935483870967744,0.4,0.0,0
8,10,8,0,41,0.5,0.8,0.19999999999999996,0
0,1,0,0,55,0.0,0.6,0.19999999999999996,0
6,13,13,1,23,0.2857142857142857,0.6,0.6,0
2,10,2,0,16,0.3939393939393939,0.8,0.4,0
8,11,11,1,47,0.2,0.6,0.4,1
1,13,13,1,55,1.0,0.8,0.6,1
8,2,8,0,5,0.6,0.6,0.4,1
6,0,6,0,27,0.0,0.6,0.4,0
11,13,11,0,47,0.5,0.8,0.4,0
0,2,0,0,27,0.7666666666666667,0.6,0.19999999999999996,0
10,1,1,1,18,0.5714285714285714,0.0,0.4,0
8,13,13,1,23,1.0,0.8,0.6,1
11,6,11,0,14,0.0,0.8,0.4,0
10,0,0,1,18,0.5714285714285714,0.0,0.6,0
1,2,1,0,16,0.6666666666666666,0.8,0.19999999999999996,1
